,ev15o1,"The squirrel looks at you absent mindedly. ""Long ago I retired from the patrol"", he says. ""Now I spend my days adventuring and reliving my glory days. I don't need much of my old equipment anymore. Can I interest you in something?""","Белка рассеяно на тебя смотрит. ""Я уже давно ушел со службы"", говорит он. ""Теперь я провожу свое время путешествуя и переживая дни моей былой славы. Я не пользуюсь большей частью моего старого оборудования. Может тебе что-то из него пригодится?""",
,ev15b1,"""I'll take a shield""",Я возьму щит,
,ev15b1o1,"From beneath his bushy tail, he pulls a shield. ""This may protect you. Remember, loot is only valuable if you make it back alive.""","Откуда-то из под своего пушистого хвоста, он достает щит. ""Он может защитить тебя. Но помни, добыча чего-то стоит, только если тебе удастся вернуться с ней живым.""",
,ev15b1o1t1,I hope the shield serves you well!," ""Надеюсь этот щит хорошо тебе послужит.""",
,ev15b2,"""I'll take a weapon""",Я возьму оружие,
,ev15b2o1,"He reaches into his tunic and pulls out a weapon, tossing it to you.","Из глубин своей туники, он достает оружие и кидает его тебе.",
,ev15b2o1t1,Strike down any who oppose the patrol!,Срази любого кто перечит патрулю.,
,ev15b2o1t2,The patrol lives by these weapons!,Патруль живет этим оружием.,
,ev15b3,Maybe something to eat,Что-то поесть,
,ev15b3o1,"He scratches at the ground. Beneath his feet is a mound of nuts and hidden among them, many a delicious food.","Когтями, он расчищает небольшой участок от земли. У его ног появляется горстка орехов и среди них много вкусной еды.",
,ev15b3o1t1,An army marches on its stomach!,Путь к победе лежит через желудок.,
,ev15b3o1t2,Better than what we used to eat on the patrol.,"Это гораздо лучше, чем то чем нас обычно кормят.",
,ev15i1,Hark! You are greeted by a member of the patrol!,Хей! Тебя приветствует один из патрульных.,
,ev15f1,Long live the patrol!,Да здравствует Патруль!,
,ev15f2,The patrol shall conquer!,Патруль будет победоносен!,
,ev15f3,"In retirement, I still patrol!",Я несу дозор даже на пенсии.,
,,,,
,ev16n,Statue of Anna,Статуя Анны,
,ev16o1,"Inscribed on the statue: ""Anna bestowed gifts The world felt safe in her arms healer in a fire""","На статуе вырезано: ""Анна одарила нас, весь мир чувствовал себя умиротворенно в ее целебных, огненных объятиях""",
,ev16b1,Gain 5 max hp,Увеличить максимальное здоровье на 5,
,ev16b1o1,You leave a coin. Then kneel before the statue and say a prayer. Anna somehow seems to reflect light even in this dark place.,"Ты кладёшь монету. Затем опускаешься на колени перед статуей, в молитве. Каким-то образом, Анна источает свет даже в этом темном месте.",
,ev16b2,Steal coins [Get 10 gold or a fight begins],Украсть монеты - [Получить 10 золота] или [Начнется сражение],
,ev16b2o1,Travelers leave coins by the statue as a token for their prayers. You decide that Anna won't miss just a few.,"Путешественники оставляют монеты перед статуей, как символ своей молитвы. Ты решаешь что от потери нескольких у Анны не убудет.",
,ev16b2o2,"You approach the statue to grab a few coins. As the coins jingle, you turn to see an approaching group of enemies.","Ты подходишь к статуе чтобы забрать пару-тройку монет. Под их звон, ты оборачиваешься, встречаясь взглядом с приближающейся группе врагов.",
,ev16b3,Leave,Уйти,
,ev16b3o1,You say a quick prayer. You decide to leave the statue behind.,"Ты произносишь короткую молитву, и решаешь оставить статую позади.",
,,,,
,ev17n,A Red fox in the dark,Красный лис во тьме,
,ev17o1,"The fox steps out from the shadows. ""Natural prey."", he says. ""If we battle, I shall make short work of you. Be ye friend or foe?""","Лис выходит из тени. ""Естественная добыча."" говорит он. ""Если мы будем сражаться, я обещаю расправиться с тобой быстро. Скажи, ты друг наш или враг?""",
